"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11","1,325.8","1,328.6","1,332.3","1,249.1","-","-0.10%"
"Feb 11","1,327.2","1,289.1","1,344.1","1,289.1","-","3.20%"
"Jan 11","1,286.1","1,257.6","1,302.7","1,257.6","-","2.26%"
"Dec 10","1,257.6","1,186.6","1,262.6","1,186.6","-","6.53%"
"Nov 10","1,180.6","1,185.7","1,227.1","1,173.0","-","-0.23%"
"Oct 10","1,183.3","1,143.5","1,196.1","1,131.9","-","3.69%"
"Sep 10","1,141.2","1,049.7","1,157.2","1,049.7","-","8.76%"
"Aug 10","1,049.3","1,107.5","1,129.2","1,039.7","-","-4.74%"
"Jul 10","1,101.6","1,031.1","1,120.9","1,010.9","-","6.88%"
"Jun 10","1,030.7","1,087.3","1,131.2","1,028.3","-","-5.39%"
"May 10","1,089.4","1,188.6","1,205.1","1,040.8","-","-8.20%"
"Apr 10","1,186.7","1,171.2","1,219.8","1,170.7","-","1.48%"
"Mar 10","1,169.4","1,105.4","1,180.7","1,105.4","-","5.88%"
"Feb 10","1,104.5","1,073.9","1,112.4","1,044.5","-","2.85%"
"Jan 10","1,073.9","1,116.6","1,150.4","1,071.6","-","-3.70%"
"Dec 09","1,115.1","1,098.9","1,130.4","1,085.9","-","1.78%"
"Nov 09","1,095.6","1,036.2","1,113.7","1,029.4","-","5.74%"
"Oct 09","1,036.2","1,054.9","1,101.4","1,020.0","-","-1.98%"
"Sep 09","1,057.1","1,019.5","1,080.2","992.0","-","3.57%"
"Aug 09","1,020.6","990.2","1,039.5","978.5","-","3.36%"
"Jul 09","987.5","920.8","996.7","869.3","-","7.41%"
"Jun 09","919.3","923.3","956.2","888.9","-","0.02%"
"May 09","919.1","872.7","930.2","866.1","-","5.31%"
"Apr 09","872.8","793.6","888.7","783.3","-","9.39%"
"Mar 09","797.9","729.6","833.0","666.8","-","8.54%"
"Feb 09","735.1","823.1","875.0","734.5","-","-10.99%"
"Jan 09","825.9","903.0","943.8","804.3","-","-8.57%"
"Dec 08","903.3","888.6","918.8","815.7","-","0.78%"
"Nov 08","896.2","968.7","1,007.5","741.0","-","-7.48%"
"Oct 08","968.8","1,164.2","1,167.0","839.8","-","-16.94%"
"Sep 08","1,166.4","1,287.8","1,303.0","1,106.4","-","-9.08%"
"Aug 08","1,282.8","1,269.4","1,313.2","1,247.4","-","1.22%"
"Jul 08","1,267.4","1,276.7","1,292.2","1,200.4","-","-0.99%"
"Jun 08","1,280.0","1,399.6","1,404.1","1,272.0","-","-8.60%"
"May 08","1,400.4","1,386.0","1,440.2","1,373.1","-","1.07%"
"Apr 08","1,385.6","1,326.4","1,404.6","1,324.3","-","4.75%"
"Mar 08","1,322.7","1,330.4","1,359.7","1,257.0","-","-0.60%"
"Feb 08","1,330.6","1,378.6","1,396.0","1,316.8","-","-3.48%"
"Jan 08","1,378.6","1,468.0","1,471.8","1,270.1","-","-6.12%"
"Dec 07","1,468.4","1,479.6","1,523.6","1,435.7","-","-0.86%"
"Nov 07","1,481.1","1,545.8","1,545.8","1,406.1","-","-4.40%"
"Oct 07","1,549.4","1,527.3","1,576.1","1,489.6","-","1.48%"
"Sep 07","1,526.8","1,474.0","1,538.7","1,439.3","-","3.58%"
"Aug 07","1,474.0","1,455.2","1,503.9","1,370.6","-","1.29%"
"Jul 07","1,455.3","1,504.7","1,555.9","1,454.3","-","-3.20%"
"Jun 07","1,503.3","1,530.6","1,540.6","1,484.2","-","-1.78%"
"May 07","1,530.6","1,482.4","1,535.6","1,476.7","-","3.25%"
"Apr 07","1,482.4","1,420.8","1,498.0","1,416.4","-","4.33%"
"Mar 07","1,420.9","1,406.8","1,438.9","1,364.0","-","1.00%"
"Feb 07","1,406.8","1,437.9","1,461.6","1,389.4","-","-2.18%"
"Jan 07","1,438.2","1,418.0","1,441.6","1,404.0","-","1.41%"
"Dec 06","1,418.3","1,400.6","1,431.8","1,385.9","-","1.26%"
"Nov 06","1,400.6","1,377.8","1,407.9","1,361.0","-","1.65%"
"Oct 06","1,377.9","1,335.8","1,389.4","1,327.1","-","3.15%"
"Sep 06","1,335.8","1,303.8","1,340.3","1,290.9","-","2.46%"
"Aug 06","1,303.8","1,278.5","1,306.7","1,261.3","-","2.13%"
