Date,Open,High,Low,Close,Volume
2006-07-31,1580.63,1586.43,1446.77,1509.43,6276781034
2006-08-31,1498.17,1586.6,1476.06,1579.73,6582341379
2006-09-30,1589.21,1666.03,1558.17,1654.13,6431887930
2006-10-31,1650.31,1745.79,1623.06,1732.54,7364582759
2006-11-30,1738.55,1824.21,1693.18,1791.25,6714368967
2006-12-31,1790.63,1821.18,1746.06,1756.9,6047184482
2007-01-31,1769.22,1847.54,1731.71,1792.28,7360084482
2007-02-28,1801.6,1851.47,1746.29,1761.65,6844924138
2007-03-31,1729.03,1807.43,1710.97,1772.36,7511017241
2007-04-30,1775.92,1896.77,1761.65,1867.75,6847758621
2007-05-31,1872.34,1931.1,1857.33,1928.18,7629734485
2007-06-30,1934.74,1948.58,1876.52,1934.1,7817294826
2007-07-31,1943.28,2060.29,1931.99,1932.06,7777131035
2007-08-31,1929.09,1995,1805.66,1988.73,8987246552
2007-09-30,1989.28,2101.96,1943.27,2091.11,6078836209
2007-10-31,2092.6,2239.23,2088.79,2238.98,8405451725
2007-11-30,2223.52,2226.87,1980.18,2089.1,8657722415
2007-12-31,2080.1,2147.67,1999.59,2084.92,6509205172
2008-01-31,2085.53,2094.22,1693.06,1841.42,9519303450
2008-02-29,1846.06,1864.97,1714.86,1745.27,7890960343
2008-03-31,1743.92,1831.98,1668.56,1781.93,7752834482
2008-04-30,1806.15,1953.59,1776.6,1917.7,7366594828
2008-05-31,1921.87,2050.79,1921.05,2032.56,7376398275
2008-06-30,2026.58,2055.82,1829.3,1837.09,7925534485
2008-07-31,1821.93,1874.83,1761.08,1849.15,8736631037
2008-08-31,1847.47,1973.56,1802.09,1872.54,6807394829
2008-09-30,1904.21,1912.72,1496.15,1584.6,8917748275
2008-10-31,1581.06,1584.26,1149.12,1334.78,10782262070
2008-11-30,1333.19,1382.65,1018.86,1185.75,7229863792
2008-12-31,1156.53,1251.56,1091.04,1211.65,6831015518
2009-01-31,1212.74,1286.08,1136.61,1180.25,6895793101
2009-02-28,1168.13,1286.9,1112.12,1116.99,7307003450
2009-03-31,1098.99,1281.3,1040.41,1237.01,8531194828
2009-04-30,1215.9,1418.77,1211.6,1394.33,8393731033
2009-05-31,1396.22,1435.8,1339.82,1435.57,8164143102
2009-06-30,1451.37,1511.94,1413.54,1477.25,8945043102
2009-07-31,1486.5,1632.97,1394.87,1603.36,8117993105
2009-08-31,1619.24,1667.91,1563.14,1625.19,7588218966
2009-09-30,1620.09,1754.54,1585.56,1718.99,8560846551
2009-10-31,1710.5,1780.83,1656.77,1667.13,8705110345
2009-11-30,1667.06,1814.25,1652.44,1767.43,6702982758
2009-12-31,1782.85,1882.58,1759.34,1860.31,6770529309
2010-01-31,1882.69,1897.49,1734.03,1741.04,7866522416
2010-02-28,1745.91,1830.38,1712.89,1818.68,7385406898
2010-03-31,1826.62,1976.38,1826.61,1958.34,9475094828
2010-04-30,1968.44,2059.42,1943.97,2000.63,9401472414
2010-05-31,2010.94,2039.52,1752.31,1852.39,9862606895
2010-06-30,1846.6,1939.77,1734.9,1739.14,8385125860
2010-07-31,1741.93,1900.15,1700.04,1864,7570753448
2010-08-31,1886.61,1918.78,1747.32,1767.43,7205903448
2010-09-30,1791.91,2029.65,1791.42,1998.04,7170150000
2010-10-31,2014.47,2137.33,1963.68,2124.45,7162027587
2010-11-30,2135.57,2200.16,2085.27,2117.33,7050613794
2010-12-31,2150.64,2238.92,2150.64,2217.86,6259808622
2011-01-31,2238.66,2336.04,2237.73,2281.91,6934786207
2011-02-28,2298.37,2403.52,2284.65,2350.99,6762989654
2011-03-31,2359.78,2375.67,2188.92,2338.99,7767239657
2011-04-30,2352.47,2415.85,2254.88,2404.08,6555965517
2011-05-31,2410.24,2417.83,2298.72,2372.54,7252950000
2011-06-30,2368.29,2373.82,2180.94,2325.07,7339777586
2011-07-31,2326.16,2438.44,2318.2,2362.81,6428100004
2011-08-31,2391.42,2396.5,2034.92,2241.01,9823770692
2011-09-30,2245.01,2337.7,2112.84,2139.18,7413184483
2011-10-31,2128.02,2412.52,2042.9,2360.08,7377212069
2011-11-30,2301.11,2402.51,2150.71,2295.2,6620208618
2011-12-31,2294.27,2343.1,2209.57,2277.83,5720256895
2012-01-31,2323.16,2481.51,2307.56,2467.95,6090672415
2012-02-29,2481.62,2645.2,2474.29,2623.1,6504906898
2012-03-31,2634.25,2794,2575.22,2755.27,6325225862
2012-04-30,2752.19,2795.35,2628.96,2723.68,5826549999
2012-05-31,2719.25,2756.81,2474.7,2524.87,6916539655
2012-06-30,2510.82,2633.21,2443.92,2615.72,6458387929
2012-07-31,2616.52,2663.12,2522.89,2642.53,5980462068
2012-08-31,2660.49,2802.91,2606.54,2772.24,6156715514
2012-09-30,2766.93,2878.38,2744.29,2799.19,5813746552
2012-10-31,2811.45,2845.97,2636.83,2647.92,6270175861
2012-11-30,2661.05,2701.91,2494.38,2677.88,6361075862
2012-12-31,2697.44,2713.4,2598.57,2660.93,5779739655
2013-01-31,2727.67,2769.31,2703.75,2731.53,6728899999
2013-02-28,2751.19,2783.19,2689.83,2738.58,6166453448
2013-03-31,2725.38,2820.67,2713.49,2818.69,5818824138
2013-04-30,2819.78,2887.86,2730.97,2887.44,6362815517
2013-05-31,2885.42,3053.39,2868.8,2981.76,6748979310
2013-06-30,2984.59,3007.12,2825.26,2909.6,6470387932
2013-07-31,2933.48,3110.01,2913.52,3090.19,6187848273
2013-08-31,3113.22,3149.09,3053.26,3073.81,5655974141
2013-09-30,3097.65,3248.5,3077.15,3218.2,6034093104
2013-10-31,3230.3,3408.13,3117.69,3377.73,7416756895
2013-11-30,3392.32,3495.96,3318.39,3487.82,6175598275
2013-12-31,3495.07,3592,3422.96,3592,6403324137
2014-01-31,3575.79,3634.65,3461.64,3522.52,7797863795
2014-02-28,3524.32,3722.34,3421.15,3696.1,6892789656
2014-03-31,3657.2,3738.23,3543.07,3595.74,8068306895
2014-04-30,3615.76,3676.29,3414.18,3582.02,7653658620
2014-05-31,3589.66,3741.57,3506.8,3736.82,6774160345
2014-06-30,3740.16,3860.65,3708.1,3849.48,6939546552
2014-07-31,3864.14,3997.2,3837.29,3892.5,6816622416
2014-08-31,3885.36,4082.97,3845.65,4082.56,5761603448
2014-09-30,4093.17,4118.91,4007.67,4049.45,6832955171
2014-10-31,4043.03,4170.67,3700.27,4158.21,8644170688
2014-11-30,4160.6,4347.08,4126.8,4337.79,5684136205
2014-12-31,4323.84,4332.55,4089.21,4236.28,6825360345
2015-01-31,4258.82,4292.88,4079.03,4148.43,6675694828
2015-02-28,4162.19,4464.24,4094.73,4440.67,6167774139
2015-03-31,4452.8,4483.8,4280.95,4333.69,7104179310
2015-04-30,4328.43,4562.31,4284.03,4414.25,6234420690
2015-05-31,4436.96,4551.52,4349.98,4508.25,6205955173
2015-06-30,4530.31,4561.57,4377.25,4396.76,7127382759
2015-07-31,4433.74,4693.98,4345.7,4591.31,7005882759
2015-08-31,4595.26,4634.68,3787.23,4274.58,7480741379
2015-09-30,4177.57,4450.56,4053.3,4181.06,7155848277
2015-10-31,4184.81,4681.23,4124.54,4648.83,7301420690
2015-11-30,4658.73,4737.06,4488.62,4664.51,6347274137
2015-12-31,4685.25,4739.59,4478.25,4593.27,6996196550
2016-01-31,4485.06,4522.12,3992.91,4279.17,7735712070
2016-02-29,4254.41,4301.63,3888.78,4201.12,7430801724
2016-03-31,4238.08,4518.16,4225.93,4483.65,7023944825
2016-04-30,4461.77,4574.38,4307.1,4341.3,6554189655
2016-05-31,4350.83,4526.84,4282,4523.9,6690213794
2016-06-30,4507.18,4536.55,4179.73,4417.7,7623086208
2016-07-31,4411.77,4743.25,4375.72,4730.23,6215524138
2016-08-31,4734.44,4837.67,4689.55,4771.06,6681858623
2016-09-30,4774.81,4895.5,4656.51,4875.7,6905965518
2016-10-31,4864.63,4911.76,4760.07,4801.27,5973249999
2016-11-30,4810.3,4896.57,4647.59,4810.81,7219089653
2016-12-31,4806.77,4992.08,4721.41,4863.62,6648148273
2017-01-31,4900.85,5172.43,4884.52,5116.77,6211718966
2017-02-28,5157.84,5358.53,5128.76,5330.31,6329234482
2017-03-31,5368.65,5451.5,5316.02,5436.23,7575468966
2017-04-30,5440.2,5600,5353.59,5583.53,5826413792
2017-05-31,5602.44,5813.26,5568.47,5788.8,7290584481
2017-06-30,5804.16,5897.69,5599.44,5646.92,8394812067
2017-07-31,5680.36,5995.77,5579.64,5880.33,6216306896
2017-08-31,5900.65,5995.45,5750.5,5988.6,7109793104
2017-09-30,6001.82,6012.95,5839.9,5979.3,6582262069
2017-10-31,5988.96,6258.42,5955.83,6248.56,7141615518
2017-11-30,6274.26,6426.04,6194.58,6365.56,7219031034
2017-12-31,6325.61,6522.7,6234.22,6396.42,6650546551
2018-01-31,6431.59,7022.97,6417.75,6949.99,9749912069
2018-02-28,6910.57,7003.14,6164.43,6854.42,7550339656
2018-03-31,6862.94,7186.09,6410.04,6581.13,8327953449
2018-04-30,6528.23,6856.96,6322.61,6605.57,7402101723
2018-05-31,6592.93,7016.42,6539.86,6967.73,7828486204
2018-06-30,7010.08,7309.99,6950.23,7040.8,8325165515
2018-07-31,6979.54,7511.39,6969.16,7231.98,6659567239
2018-08-31,7269.2,7691.1,7221.35,7654.55,7913944829
2018-09-30,7629.34,7657.8,7400.99,7627.65,7678705171
2018-10-31,7673,7700.56,6574.75,6967.1,10580337931
2018-11-30,6980.79,7205.97,6442.36,6949.01,8372525860
2018-12-31,7106.84,7107,5895.12,6329.96,8411610345
2019-01-31,6198.68,6936.34,6139.4,6906.84,8482248274
2019-02-28,6872.73,7161.73,6836.7,7097.53,7293886206
2019-03-31,7152.08,7505.41,6940.72,7378.77,8471644825
2019-04-30,7450.81,7851.98,7422.44,7781.46,7441862070
2019-05-31,7828.14,7851.04,7125.97,7127.96,8172603449
2019-06-30,7110.34,7772.53,6936.68,7671.075,7671622414
2019-07-31,7816.56,8027.18,7735.67,7848.78,7247706898
2019-08-31,7866.6,8000.94,7356.27,7691,7944713794
2019-09-30,7634.03,7975.33,7584.82,7749.449,7148732757
2019-10-31,7782.82,8119.73,7463.57,8083.833,7582131034
2019-11-30,8121.95,8445.61,8111.73,8403.685,7169308621
2019-12-31,8409.87,8811.1,8167.36,8733.073,7920496554
2020-01-31,8802.22,9272.38,8713.89,8991.512,9044198274
2020-02-29,9033.52,9736.574,8133.848,8461.835,9243886207
2020-03-31,8569.906,9000.457,6771.914,7813.499,16702420690
2020-04-30,7582.781,9025.824,7423.969,9000.509,13568472412
2020-05-31,8791.876,9573.555,8665.402,9555.524,14030544545
2020-06-30,9526.43,10306.898,9489.582,10156.85,15368131008
2020-07-31,10160.41,11069.26,10142.75,10905.88,13615622118
2020-08-31,11018.02,12167.46,10855.06,12110.7,12481405956
2020-09-30,12203.36,12439.48,10677.85,11418.06,17755812492
2020-10-31,11554.96,12204.75,10960.02,11052.95,14690228005
2020-11-30,11152.48,12306.71,10957.11,12268.32,13392923584
2020-12-31,12387.62,12925.54,12226.13,12888.283,13342230514
2021-01-31,12950.22,13563.7,12537.42,12925.38,13791350092
2021-02-28,13067.65,13879.77,12758.12,12909.44,11551043839
2021-03-31,13106.02,13301.63,12208.39,13091.44,16351242160
2021-04-30,13268.88,14073.48,13255.82,13860.76,12073102704
2021-05-31,13923.04,13955,12967.18,13686.51,11628872868
2021-06-30,13764.27,14582.3,13469.85,14554.8,11298806471
2021-07-31,14530.63,15142.35,14455.07,14959.9,11835651843
2021-08-31,15046.11,15620.62,14773.19,15582.51,12211155026
2021-09-30,15637.13,15701.4,14684.55,14689.62,11454269452
2021-10-31,14731.38,15856.9,14384.93,15850.47,11726611807
2021-11-30,15879.61,16625.355,15785.31,16573.344,9541317634
